route_id,vehicle_type,hour_of_day,day_of_week,distance_km,actual_travel_time_minutes
2,bus,18,tuesday,4.56,31.45
2,bus,17,saturday,6.98,44.32
2,jeepney,9,monday,3.34,19.16
3,jeepney,18,friday,6.46,38.07
1,bus,3,sunday,3.76,9.76
1,jeepney,6,tuesday,0.63,2.25
2,bus,6,sunday,5.13,16.94
2,e-jeep,23,sunday,0.82,1.74
3,e-jeep,10,sunday,2.43,6.38
3,jeepney,19,friday,4.32,26.52
1,e-jeep,4,friday,4.83,11.13
1,jeepney,18,sunday,1.08,5.89
2,bus,13,wednesday,3.25,13.03
2,bus,1,tuesday,2.42,8.21
3,bus,22,thursday,0.6,1.81
3,e-jeep,7,monday,6.04,30.87
1,e-jeep,10,sunday,6.41,17.24
3,e-jeep,21,monday,7.79,24.43
3,e-jeep,14,sunday,6.66,18.04
3,e-jeep,20,monday,1.75,5.5
3,e-jeep,15,sunday,4.28,11.4
3,jeepney,5,monday,2.7,7.19
3,jeepney,18,monday,1.64,9.38
1,jeepney,7,monday,3.81,21.64
1,bus,8,wednesday,6.64,48.25
1,bus,21,monday,2.16,8.66
1,e-jeep,15,friday,4.55,14.0
3,e-jeep,22,monday,2.5,6.11
3,jeepney,6,sunday,2.0,6.06
2,jeepney,20,thursday,4.25,13.39
1,bus,15,tuesday,5.28,20.78
1,jeepney,8,friday,6.5,40.66
3,bus,8,thursday,7.2,49.57
2,e-jeep,6,thursday,2.63,7.86
2,bus,18,monday,0.36,2.42
3,e-jeep,20,friday,4.99,15.47
2,jeepney,2,wednesday,7.91,20.63
2,e-jeep,20,saturday,7.63,19.43
1,jeepney,16,sunday,2.15,12.2
2,bus,21,wednesday,5.54,21.4
2,bus,9,wednesday,7.28,53.77
1,bus,18,saturday,7.96,47.92
3,e-jeep,22,tuesday,5.58,13.1
3,e-jeep,11,friday,2.61,8.27
3,bus,5,wednesday,1.05,3.57
3,e-jeep,17,sunday,7.33,32.45
3,e-jeep,2,tuesday,3.04,7.02
2,e-jeep,10,wednesday,2.31,7.17
2,jeepney,1,sunday,5.18,11.86
1,bus,15,tuesday,4.15,15.68
3,e-jeep,9,thursday,0.72,3.72
1,jeepney,10,thursday,7.9,24.78
1,e-jeep,10,sunday,5.81,14.51
2,e-jeep,20,tuesday,2.71,8.75
2,e-jeep,6,sunday,6.26,16.13
2,jeepney,2,tuesday,5.03,13.13
2,e-jeep,15,thursday,0.34,1.01
2,bus,0,wednesday,6.13,19.52
3,jeepney,0,saturday,5.95,14.43
2,e-jeep,4,monday,3.25,7.69
1,jeepney,1,wednesday,7.6,20.41
3,bus,16,wednesday,3.64,25.7
2,jeepney,15,wednesday,6.08,21.41
1,e-jeep,7,tuesday,5.9,34.2
1,bus,18,friday,1.6,11.89
1,bus,12,saturday,2.27,7.85
3,jeepney,1,saturday,1.13,2.49
3,jeepney,3,thursday,3.72,10.56
2,e-jeep,22,tuesday,1.88,4.38
2,jeepney,13,saturday,1.08,3.12
3,bus,22,tuesday,3.52,10.59
3,bus,19,monday,2.48,17.25
1,e-jeep,19,tuesday,6.29,32.58
2,jeepney,22,thursday,2.57,7.4
1,e-jeep,22,thursday,2.85,7.43
1,bus,3,sunday,4.72,13.15
3,jeepney,2,saturday,5.87,12.78
1,bus,14,wednesday,2.33,10.04
1,jeepney,9,wednesday,6.47,40.42
1,bus,3,sunday,6.14,18.42
3,jeepney,20,tuesday,2.83,8.87
2,bus,23,monday,3.17,10.41
2,jeepney,12,thursday,2.39,8.12
2,e-jeep,20,sunday,1.58,4.38
1,bus,5,monday,3.5,11.04
3,bus,14,tuesday,5.01,19.18
1,bus,21,sunday,5.9,19.31
2,e-jeep,3,thursday,3.69,9.52
2,bus,0,saturday,6.99,19.37
3,bus,23,friday,2.02,6.02
3,e-jeep,16,saturday,5.69,28.86
3,bus,7,thursday,2.96,20.94
1,e-jeep,17,friday,0.72,3.84
3,jeepney,15,sunday,4.12,12.62
2,e-jeep,7,wednesday,7.77,45.67
3,jeepney,20,thursday,3.41,11.87
2,e-jeep,18,thursday,0.98,5.35
1,e-jeep,15,saturday,5.33,14.85
1,e-jeep,17,friday,0.3,1.75
3,bus,20,wednesday,7.15,28.32
3,bus,14,wednesday,3.1,13.35
2,jeepney,10,friday,6.21,20.37
3,bus,11,saturday,3.78,14.05
1,bus,0,wednesday,3.03,9.49
3,e-jeep,16,wednesday,5.71,33.59
2,jeepney,4,sunday,5.82,13.03
2,jeepney,19,tuesday,1.74,9.87
1,e-jeep,14,sunday,6.32,15.93
2,jeepney,1,saturday,6.75,15.43
2,e-jeep,21,friday,7.66,24.41
1,e-jeep,16,saturday,0.67,2.97
2,bus,16,sunday,7.39,49.28
1,bus,23,sunday,1.29,3.66
3,bus,10,friday,7.09,28.73
3,bus,7,wednesday,3.36,25.07
2,e-jeep,4,tuesday,3.48,8.09
3,bus,9,sunday,5.7,34.08
3,bus,17,saturday,1.97,13.07
2,bus,21,wednesday,7.39,31.41
3,bus,5,friday,4.48,14.03
1,bus,11,friday,4.0,15.82
3,bus,13,saturday,6.06,19.99
2,e-jeep,0,friday,1.12,2.74
3,jeepney,1,tuesday,2.36,6.02
3,e-jeep,8,tuesday,6.76,35.78
1,e-jeep,17,monday,3.06,16.82
3,bus,23,friday,6.96,21.44
2,bus,7,friday,6.34,44.01
3,e-jeep,21,monday,7.43,22.7
2,bus,17,monday,0.4,3.03
2,bus,7,saturday,5.73,35.4
3,bus,23,friday,1.81,5.59
2,jeepney,14,tuesday,7.87,28.15
3,jeepney,16,monday,3.2,19.62
2,bus,4,tuesday,4.8,15.99
2,e-jeep,22,tuesday,0.61,1.37
1,bus,20,friday,6.79,28.05
3,bus,11,monday,6.34,26.12
1,jeepney,16,monday,6.35,40.7
3,bus,12,monday,2.99,11.27
2,bus,10,wednesday,2.56,9.55
3,bus,15,friday,6.64,24.66
1,jeepney,21,wednesday,3.73,11.68
3,bus,7,monday,5.56,41.63
2,jeepney,8,friday,5.87,38.5
2,bus,16,sunday,4.22,26.74
3,e-jeep,6,wednesday,4.26,11.92
3,jeepney,17,monday,5.13,32.6
1,bus,21,thursday,6.73,28.25
3,bus,13,saturday,6.59,24.61
1,bus,0,thursday,5.82,20.11
1,jeepney,5,sunday,2.24,5.58
2,jeepney,13,thursday,3.77,12.76
1,e-jeep,12,saturday,1.21,3.43
3,bus,2,sunday,6.04,18.12
2,jeepney,16,monday,2.53,14.89
1,bus,9,sunday,7.44,47.96
1,bus,15,tuesday,4.41,18.73
3,e-jeep,9,saturday,1.41,6.5
3,bus,11,monday,4.56,18.08
1,jeepney,0,friday,4.89,12.96
2,jeepney,6,saturday,6.01,16.81
2,jeepney,20,sunday,4.25,13.03
3,jeepney,8,tuesday,1.18,6.96
1,bus,17,thursday,5.26,41.06
1,bus,8,monday,1.82,13.07
2,e-jeep,4,saturday,5.35,11.93
1,bus,6,wednesday,4.04,16.62
2,bus,22,friday,1.47,4.65
2,e-jeep,5,monday,2.71,6.22
3,bus,20,thursday,2.43,9.94
3,bus,10,thursday,3.86,15.8
2,e-jeep,17,monday,1.65,8.85
1,e-jeep,17,tuesday,2.33,11.97
3,jeepney,2,monday,6.84,17.86
3,bus,12,sunday,4.84,15.81
2,bus,17,friday,3.94,27.45
2,e-jeep,7,sunday,4.84,21.72
2,jeepney,16,friday,1.0,6.2
3,jeepney,7,sunday,7.72,37.77
1,bus,16,tuesday,3.74,28.67
3,bus,4,saturday,5.94,15.44
1,jeepney,15,tuesday,0.78,2.66
3,jeepney,6,friday,7.29,24.85
2,e-jeep,1,monday,7.85,19.39
3,bus,20,sunday,2.41,8.07
3,bus,18,tuesday,3.2,23.73
3,bus,2,friday,2.24,6.66
3,jeepney,12,wednesday,6.59,22.53
3,e-jeep,0,friday,7.09,17.18
1,jeepney,16,saturday,2.46,13.73
2,jeepney,19,saturday,6.59,33.86
2,e-jeep,23,monday,4.01,9.66
3,jeepney,5,saturday,6.72,16.87
1,jeepney,18,friday,1.54,9.14
3,jeepney,4,monday,1.58,3.95
2,bus,19,friday,5.21,35.73
3,bus,9,monday,1.97,14.09
2,e-jeep,5,tuesday,6.69,15.8
1,bus,19,saturday,4.23,28.25
2,bus,14,friday,4.85,20.28
1,e-jeep,3,monday,1.86,4.22
3,bus,13,sunday,1.45,5.39
3,e-jeep,19,monday,7.06,38.32
1,jeepney,15,saturday,1.3,3.71
3,jeepney,20,thursday,4.32,14.7
3,jeepney,16,thursday,2.07,11.97
2,e-jeep,18,sunday,6.01,27.36
3,bus,3,thursday,1.33,4.27
1,jeepney,9,friday,7.05,43.36
1,jeepney,22,saturday,6.38,14.61
3,jeepney,0,thursday,5.34,13.82
2,e-jeep,11,monday,1.49,4.36
2,e-jeep,17,thursday,4.65,24.92
2,bus,6,thursday,4.55,18.03
2,jeepney,17,friday,4.02,22.6
2,bus,22,thursday,5.97,18.08
1,bus,23,tuesday,3.74,11.6
1,jeepney,6,friday,3.38,11.57
3,bus,22,saturday,5.74,16.89
1,bus,2,sunday,1.42,3.7
1,e-jeep,2,wednesday,2.01,5.17
3,jeepney,12,thursday,5.03,16.71
3,bus,1,sunday,6.62,18.02
1,e-jeep,6,sunday,5.36,13.33
1,e-jeep,1,sunday,4.92,10.24
3,jeepney,5,saturday,0.58,1.4
1,jeepney,2,wednesday,6.3,17.2
2,e-jeep,18,tuesday,4.29,22.55
1,jeepney,17,wednesday,5.89,35.36
2,bus,11,sunday,2.43,8.31
2,jeepney,12,friday,0.34,1.2
1,bus,17,monday,4.17,31.12
3,jeepney,8,friday,6.56,39.29
2,bus,12,friday,4.02,16.77
2,e-jeep,21,thursday,7.2,20.42
1,e-jeep,8,monday,3.25,16.94
3,jeepney,22,tuesday,6.46,17.47
3,e-jeep,17,monday,5.7,32.31
1,e-jeep,12,saturday,6.07,16.25
1,bus,15,wednesday,3.02,11.36
1,e-jeep,23,saturday,7.46,16.38
1,bus,7,saturday,2.16,14.19
1,jeepney,7,sunday,5.06,28.22
1,jeepney,2,saturday,7.66,17.78
3,jeepney,1,sunday,4.01,9.12
3,e-jeep,8,thursday,1.71,8.95
2,bus,12,tuesday,6.08,25.86
2,bus,15,friday,0.55,2.26
1,bus,14,monday,5.68,22.87
1,bus,0,saturday,1.92,5.27
2,e-jeep,19,sunday,2.3,10.82
2,jeepney,15,friday,2.94,10.32
1,e-jeep,13,saturday,6.09,16.24
2,e-jeep,14,tuesday,4.7,13.1
1,bus,3,saturday,2.38,6.91
2,e-jeep,6,tuesday,6.46,18.67
1,e-jeep,5,thursday,4.15,9.23
3,bus,17,saturday,2.73,17.3
3,e-jeep,18,monday,3.37,17.84
1,jeepney,8,thursday,6.76,43.8
2,bus,8,wednesday,3.07,22.12
2,e-jeep,0,thursday,1.23,2.79
1,bus,18,friday,5.3,38.31
2,e-jeep,10,saturday,4.23,10.57
1,e-jeep,12,friday,2.51,7.37
1,jeepney,20,sunday,7.45,21.87
3,bus,12,sunday,7.28,27.15
1,e-jeep,10,wednesday,5.33,15.47
3,bus,12,wednesday,7.14,27.33
3,e-jeep,18,friday,7.73,42.75
1,jeepney,4,saturday,2.11,5.1
3,bus,23,monday,1.92,6.25
1,jeepney,15,friday,0.71,2.27
1,bus,3,wednesday,5.06,17.35
2,e-jeep,7,tuesday,5.98,32.92
1,jeepney,16,sunday,1.61,9.17
2,e-jeep,15,thursday,7.81,23.28
3,e-jeep,14,tuesday,7.77,22.6
3,jeepney,19,thursday,5.16,30.61
2,bus,16,saturday,5.22,34.05
2,e-jeep,17,tuesday,6.5,35.79
2,e-jeep,8,tuesday,2.64,15.65
2,jeepney,9,thursday,4.42,26.01
2,e-jeep,9,monday,6.2,32.28
1,bus,0,friday,3.18,10.32
2,bus,12,tuesday,1.56,6.01
2,e-jeep,7,wednesday,0.91,4.87
3,bus,22,saturday,2.39,6.5
2,bus,13,tuesday,6.87,28.95
1,e-jeep,20,thursday,5.06,15.75
2,bus,6,wednesday,0.45,1.94
1,bus,5,monday,2.47,8.41
3,e-jeep,0,tuesday,0.99,2.58
2,jeepney,13,wednesday,6.35,21.17
2,e-jeep,22,sunday,0.54,1.21
1,jeepney,8,sunday,3.32,17.38
1,jeepney,8,sunday,3.24,18.52
1,bus,12,sunday,7.81,28.31
1,jeepney,14,saturday,6.24,18.03
2,jeepney,12,saturday,7.7,20.86
3,jeepney,23,monday,6.03,15.95
2,jeepney,15,saturday,2.6,7.71
3,jeepney,6,monday,2.12,7.14
1,jeepney,8,friday,1.22,7.07
1,jeepney,18,sunday,5.62,28.75
2,jeepney,2,tuesday,1.51,4.31
2,bus,20,monday,0.76,2.97
3,bus,3,tuesday,4.06,13.38
3,bus,11,sunday,7.17,24.04
3,jeepney,12,wednesday,5.88,20.41
2,jeepney,22,thursday,4.6,12.18
1,e-jeep,18,tuesday,4.49,25.2
2,e-jeep,19,sunday,4.57,23.28
2,jeepney,9,sunday,2.33,12.55
3,jeepney,16,thursday,5.95,33.98
2,bus,19,tuesday,2.77,21.66
2,bus,6,friday,5.56,21.33
3,jeepney,9,wednesday,3.46,21.58
3,jeepney,21,monday,0.64,1.99
1,jeepney,6,monday,4.04,14.39
3,bus,12,saturday,4.07,13.88
2,bus,1,wednesday,2.0,6.18
1,jeepney,20,thursday,7.45,23.58
3,e-jeep,1,wednesday,4.6,10.32
2,e-jeep,22,monday,6.64,16.56
3,jeepney,2,sunday,2.64,5.72
1,bus,3,saturday,2.08,5.9
3,jeepney,21,tuesday,4.69,14.59
3,bus,17,thursday,6.05,42.2
2,bus,21,thursday,5.71,23.11
1,jeepney,5,friday,3.39,9.28
3,jeepney,19,thursday,7.49,42.65
2,bus,11,thursday,6.18,25.0
2,bus,19,tuesday,4.64,35.36
3,bus,8,wednesday,7.7,56.47
1,e-jeep,23,monday,7.87,18.6
1,bus,9,monday,2.61,19.87
1,e-jeep,22,sunday,2.42,5.01
3,bus,18,tuesday,1.03,7.54
1,jeepney,8,wednesday,7.15,45.14
2,e-jeep,2,friday,3.38,7.6
1,bus,23,wednesday,6.41,21.64
3,bus,18,sunday,7.29,45.41
1,e-jeep,23,sunday,4.74,10.61
2,jeepney,11,sunday,3.64,9.87
1,jeepney,23,saturday,6.84,14.84
3,bus,12,monday,2.65,11.44
3,bus,4,wednesday,4.17,13.97
3,jeepney,23,thursday,7.78,19.94
3,bus,2,tuesday,3.63,11.11
1,jeepney,10,monday,3.96,12.7
2,bus,8,monday,3.37,24.77
1,bus,4,thursday,4.61,14.78
3,bus,6,friday,5.04,19.43
1,jeepney,2,wednesday,6.28,17.23
1,bus,3,saturday,3.48,9.9
2,jeepney,11,friday,5.35,17.1
2,jeepney,19,sunday,7.92,42.13
2,jeepney,1,sunday,2.1,4.73
3,jeepney,2,monday,5.99,16.66
1,bus,9,monday,2.94,20.39
2,e-jeep,15,monday,2.86,8.26
1,jeepney,17,friday,6.08,36.56
3,bus,4,saturday,5.68,17.12
3,bus,16,monday,2.27,17.76
3,jeepney,19,wednesday,0.71,4.2
1,jeepney,12,saturday,2.39,6.56
2,bus,3,monday,2.55,7.69
1,e-jeep,12,friday,7.82,25.07
2,e-jeep,19,friday,0.98,5.62
3,e-jeep,22,monday,0.61,1.37
2,e-jeep,15,thursday,6.03,19.6
2,bus,11,saturday,2.63,8.48
2,bus,1,saturday,2.28,6.46
3,jeepney,8,tuesday,1.47,8.38
1,bus,2,saturday,3.24,8.4
3,bus,21,tuesday,3.51,13.88
2,e-jeep,19,wednesday,3.76,21.79
1,bus,18,friday,5.57,42.54
2,jeepney,22,saturday,7.22,15.71
1,e-jeep,20,friday,7.36,22.74
3,bus,23,monday,1.72,5.22
3,jeepney,0,sunday,2.75,5.93
2,e-jeep,14,saturday,7.49,18.38
2,bus,4,sunday,1.75,5.17
3,jeepney,19,wednesday,4.96,29.53
1,bus,7,saturday,0.5,3.39
1,e-jeep,16,sunday,4.96,22.75
1,e-jeep,12,thursday,3.95,12.52
1,jeepney,13,sunday,7.76,21.06
1,e-jeep,23,saturday,7.91,15.85
1,jeepney,14,sunday,5.05,14.21
1,e-jeep,13,thursday,6.28,18.52
3,e-jeep,10,thursday,5.01,14.47
3,bus,16,saturday,7.04,42.57
1,bus,14,thursday,6.67,28.79
3,jeepney,17,thursday,7.88,51.56
3,e-jeep,20,monday,1.76,5.33
2,e-jeep,14,tuesday,3.55,10.46
3,jeepney,16,tuesday,3.87,22.92
3,jeepney,16,monday,1.68,10.04
3,bus,4,thursday,3.48,11.22
2,jeepney,18,saturday,7.2,35.76
2,jeepney,10,saturday,5.29,14.83
3,jeepney,23,monday,1.0,2.58
2,bus,2,friday,5.75,17.76
3,bus,5,thursday,4.54,15.67
2,jeepney,18,sunday,5.38,30.03
1,jeepney,22,monday,3.53,9.71
2,e-jeep,20,tuesday,1.21,3.86
1,jeepney,19,sunday,2.25,11.94
3,e-jeep,0,friday,7.1,17.79
3,bus,15,thursday,3.46,14.84
1,bus,7,friday,2.44,17.39
1,jeepney,5,tuesday,0.72,1.97
1,jeepney,21,friday,6.75,23.25
1,jeepney,3,thursday,7.95,22.41
3,e-jeep,21,saturday,5.69,14.67
1,bus,14,saturday,4.76,15.49
2,jeepney,10,wednesday,7.21,22.86
3,e-jeep,2,wednesday,3.93,10.04
2,e-jeep,16,thursday,4.34,22.95
1,bus,3,friday,5.92,18.56
2,jeepney,23,saturday,4.96,10.99
2,bus,13,friday,6.83,28.41
3,bus,11,tuesday,5.03,20.13
3,bus,15,thursday,6.52,24.57
3,jeepney,9,tuesday,0.31,2.03
1,bus,23,sunday,1.9,5.19
2,e-jeep,1,wednesday,2.99,6.84
1,jeepney,20,tuesday,5.61,19.46
2,jeepney,9,friday,4.53,26.33
3,jeepney,10,wednesday,3.35,11.04
1,jeepney,6,wednesday,6.72,20.98
2,e-jeep,1,saturday,1.35,2.98
3,e-jeep,10,thursday,6.34,19.29
1,bus,16,wednesday,4.65,32.88
3,bus,0,tuesday,4.75,15.62
1,e-jeep,4,wednesday,6.77,16.68
3,e-jeep,17,sunday,1.58,7.37
3,jeepney,3,sunday,6.32,15.12
3,e-jeep,1,wednesday,3.49,8.38
2,jeepney,14,sunday,7.62,23.14
1,e-jeep,3,wednesday,6.34,14.57
2,jeepney,16,monday,6.45,36.71
1,jeepney,10,thursday,5.94,19.73
1,e-jeep,3,sunday,7.86,16.36
1,jeepney,23,monday,3.84,9.9
1,bus,0,wednesday,7.48,23.24
1,bus,10,thursday,7.15,30.54
3,bus,9,monday,4.75,35.62
2,jeepney,6,tuesday,2.51,8.32
3,e-jeep,3,wednesday,1.45,3.61
3,jeepney,17,friday,1.09,6.56
2,bus,8,tuesday,7.56,52.43
1,bus,5,monday,2.7,8.13
2,bus,1,tuesday,0.52,1.56
1,jeepney,12,monday,0.96,3.26
3,bus,18,saturday,6.74,41.31
2,bus,9,wednesday,6.59,46.35
3,bus,2,sunday,6.19,17.04
3,jeepney,14,monday,3.81,12.34
2,bus,15,tuesday,7.6,32.24
2,bus,11,thursday,1.71,6.41
2,e-jeep,14,thursday,0.53,1.6
2,e-jeep,14,sunday,1.62,4.05
3,bus,4,friday,1.09,3.32
2,jeepney,17,saturday,0.85,4.63
2,e-jeep,18,thursday,2.14,12.17
2,jeepney,12,monday,2.92,9.27
2,bus,13,friday,6.36,25.26
1,jeepney,21,saturday,0.9,2.44
2,bus,3,friday,4.89,16.1
2,jeepney,5,wednesday,7.66,21.94
3,jeepney,19,sunday,6.61,35.82
3,bus,1,monday,1.98,6.72
3,bus,0,sunday,1.43,4.22
2,bus,12,friday,4.75,19.97
2,bus,9,friday,6.42,45.39
3,e-jeep,11,monday,4.79,14.12
2,bus,4,sunday,2.57,7.3
1,bus,0,saturday,4.61,11.92
2,jeepney,0,tuesday,3.62,9.52
2,bus,22,thursday,3.43,11.09
3,jeepney,5,thursday,1.37,3.62
2,e-jeep,4,wednesday,7.98,18.64
1,jeepney,2,saturday,0.42,0.94
3,e-jeep,13,tuesday,0.95,2.79
2,e-jeep,22,friday,7.46,17.56
3,e-jeep,13,friday,6.61,20.2
1,jeepney,13,friday,0.36,1.2
1,bus,22,friday,2.37,7.1
2,bus,1,monday,4.67,14.47
3,jeepney,15,saturday,0.92,2.57
2,bus,14,friday,0.9,3.39
1,jeepney,15,saturday,6.01,16.23
3,jeepney,20,friday,6.45,22.16
2,jeepney,17,sunday,0.38,2.02
3,e-jeep,23,wednesday,3.54,7.91
2,e-jeep,5,monday,5.65,13.35
3,e-jeep,18,wednesday,0.77,4.22
3,jeepney,1,saturday,7.93,17.52
1,bus,9,thursday,0.94,6.83
2,e-jeep,4,friday,2.46,5.58
3,jeepney,3,friday,1.64,4.31
3,jeepney,14,wednesday,6.52,22.6
1,bus,15,tuesday,6.46,24.43
1,e-jeep,4,friday,7.49,19.03
2,e-jeep,12,tuesday,5.39,15.61
1,jeepney,18,saturday,6.78,38.47
1,e-jeep,1,tuesday,3.87,9.32
3,e-jeep,17,tuesday,3.22,17.0
2,e-jeep,4,friday,7.0,18.22
2,e-jeep,21,wednesday,7.71,22.47
1,jeepney,17,saturday,3.02,15.08
3,bus,8,wednesday,2.38,16.51
3,e-jeep,18,thursday,3.85,20.43
3,jeepney,21,friday,6.23,20.7
3,bus,5,wednesday,4.52,14.07
1,jeepney,13,monday,4.34,14.05
1,e-jeep,23,wednesday,2.24,5.81
1,bus,1,friday,5.36,16.28
3,bus,3,saturday,7.68,22.88
1,bus,12,saturday,6.18,21.0
1,jeepney,22,tuesday,2.25,6.03
3,jeepney,14,wednesday,6.22,20.11
2,bus,8,tuesday,6.31,47.59
2,jeepney,12,wednesday,7.97,27.64
1,e-jeep,14,monday,4.09,11.48
2,bus,5,saturday,4.09,12.07
1,e-jeep,19,saturday,1.12,5.36
1,e-jeep,1,monday,0.84,1.95
1,e-jeep,15,tuesday,5.33,17.38
3,jeepney,12,wednesday,1.47,5.04
3,e-jeep,0,friday,5.75,13.23
2,e-jeep,12,sunday,5.9,14.66
3,jeepney,7,monday,3.26,19.18
1,e-jeep,18,friday,7.5,41.85
2,bus,12,monday,5.17,19.27
2,jeepney,17,sunday,7.7,43.5
2,e-jeep,20,tuesday,1.66,5.38
3,e-jeep,6,wednesday,5.66,15.97
3,bus,11,thursday,0.95,3.72
1,bus,4,monday,1.79,5.53
1,bus,15,thursday,0.79,3.14
2,e-jeep,17,sunday,6.55,28.91
1,jeepney,10,monday,2.9,9.34
1,e-jeep,6,sunday,5.33,13.85
3,bus,4,saturday,4.76,12.4
3,jeepney,4,thursday,5.33,14.28
1,bus,7,saturday,5.3,36.34
1,bus,9,sunday,6.41,40.82
3,jeepney,2,sunday,6.59,16.29
3,bus,7,monday,6.49,47.76
3,bus,12,wednesday,1.23,4.78
1,bus,10,sunday,7.73,28.18
3,jeepney,5,wednesday,0.79,2.19
1,e-jeep,22,wednesday,4.56,11.05
1,bus,4,monday,6.39,20.02
1,e-jeep,0,thursday,0.92,2.4
3,jeepney,20,friday,7.13,24.09
3,e-jeep,4,tuesday,1.4,3.49
2,e-jeep,7,tuesday,5.0,29.45
3,jeepney,15,friday,7.62,24.89
2,e-jeep,13,monday,4.59,14.48
1,bus,19,wednesday,6.94,46.83
1,bus,14,sunday,5.12,18.68
1,jeepney,3,sunday,1.45,3.19
2,e-jeep,5,tuesday,5.46,14.14
2,bus,9,tuesday,3.65,27.27
1,e-jeep,3,saturday,0.7,1.45
1,jeepney,15,friday,1.19,3.73
2,bus,18,friday,2.81,21.47
2,bus,7,sunday,1.15,7.6
3,jeepney,13,sunday,1.84,5.02
2,jeepney,18,thursday,0.72,4.41
3,jeepney,14,tuesday,3.28,11.61
1,bus,20,wednesday,7.81,32.8
1,jeepney,22,friday,0.76,2.15
2,e-jeep,13,tuesday,6.15,19.32
3,e-jeep,5,sunday,6.42,12.49
3,jeepney,17,sunday,2.07,11.07
2,bus,6,friday,3.95,15.89
3,jeepney,13,saturday,7.02,21.2
3,e-jeep,7,friday,7.59,38.83
2,jeepney,1,monday,7.93,20.39
1,bus,13,friday,3.34,12.73
1,bus,14,thursday,2.15,8.52
3,jeepney,23,thursday,7.61,21.56
1,e-jeep,20,monday,0.42,1.23
3,jeepney,14,sunday,4.69,13.41
2,e-jeep,4,sunday,5.71,12.55
3,e-jeep,14,saturday,5.18,12.78
2,jeepney,22,wednesday,4.39,12.1
3,e-jeep,19,friday,4.73,27.07
1,bus,19,wednesday,5.97,46.75
2,bus,1,monday,3.25,10.46
2,jeepney,11,tuesday,5.29,17.07
3,bus,6,tuesday,7.86,32.81
3,jeepney,15,saturday,7.53,21.55
1,bus,23,sunday,2.04,5.81
3,e-jeep,21,thursday,2.43,7.84
2,e-jeep,15,friday,4.36,13.92
3,bus,21,sunday,4.4,15.83
2,bus,21,saturday,6.53,21.22
1,jeepney,14,monday,0.92,2.88
1,e-jeep,3,tuesday,2.42,5.63
1,e-jeep,6,friday,7.63,24.78
3,e-jeep,17,tuesday,3.95,21.82
3,bus,0,wednesday,1.76,6.1
3,jeepney,20,wednesday,3.47,11.87
2,bus,15,friday,5.43,21.62
2,bus,14,wednesday,4.67,17.56
1,e-jeep,8,tuesday,4.03,20.44
1,jeepney,11,wednesday,3.81,13.42
3,jeepney,17,wednesday,1.7,10.87
3,bus,21,sunday,1.48,5.37
2,jeepney,18,tuesday,3.69,22.84
3,jeepney,22,monday,5.42,13.43
2,jeepney,14,friday,7.81,25.89
1,jeepney,12,thursday,6.22,19.35
1,e-jeep,0,saturday,4.51,9.4
3,bus,9,thursday,7.2,48.7
3,bus,4,sunday,4.65,12.15
2,e-jeep,22,monday,5.93,13.38
3,jeepney,17,monday,2.67,16.44
2,jeepney,11,monday,2.81,9.21
3,jeepney,16,tuesday,6.32,36.73
1,jeepney,2,friday,6.84,17.74
3,jeepney,12,tuesday,4.08,13.38
1,bus,21,wednesday,3.36,12.99
2,e-jeep,12,wednesday,0.39,1.2
2,e-jeep,17,monday,1.96,10.07
2,bus,14,wednesday,1.56,6.02
3,e-jeep,13,tuesday,6.73,19.88
1,jeepney,9,thursday,7.91,47.75
1,e-jeep,18,sunday,3.19,16.43
2,bus,13,tuesday,4.58,17.72
1,jeepney,5,sunday,3.24,7.45
2,jeepney,18,wednesday,4.1,23.93
1,jeepney,0,tuesday,2.32,5.77
2,bus,3,saturday,5.43,15.64
2,jeepney,22,saturday,2.18,5.38
2,e-jeep,2,friday,6.04,14.31
2,bus,8,saturday,5.58,32.8
2,jeepney,16,saturday,4.73,23.62
3,jeepney,1,tuesday,2.76,6.94
2,jeepney,5,monday,2.4,6.48
1,e-jeep,9,wednesday,4.38,22.33
1,bus,20,tuesday,6.19,24.37
3,jeepney,10,sunday,2.73,7.5
2,e-jeep,21,saturday,5.6,15.62
2,bus,4,monday,1.35,4.48
2,e-jeep,10,tuesday,1.09,3.46
1,jeepney,17,friday,5.61,31.7
3,bus,17,saturday,6.12,41.25
1,e-jeep,3,sunday,1.31,2.96
2,e-jeep,22,wednesday,1.37,3.32
3,bus,10,tuesday,5.77,24.96
1,jeepney,4,sunday,5.65,12.72
1,e-jeep,6,tuesday,7.85,23.84
1,jeepney,0,sunday,4.03,9.45
1,jeepney,1,sunday,5.38,12.29
1,e-jeep,8,monday,0.81,4.3
1,jeepney,19,tuesday,4.82,30.68
2,bus,0,monday,1.42,4.37
3,e-jeep,11,wednesday,1.54,4.62
3,bus,7,friday,4.69,36.45
1,bus,16,tuesday,5.81,39.33
3,jeepney,0,saturday,1.06,2.58
3,bus,15,wednesday,5.68,23.93
1,bus,5,sunday,3.03,8.6
3,jeepney,7,thursday,1.17,6.58
2,jeepney,3,friday,1.35,3.46
2,bus,17,saturday,0.61,3.97
2,jeepney,9,thursday,4.92,30.74
1,e-jeep,17,thursday,2.54,13.11
1,jeepney,15,saturday,3.13,9.84
